X,Y,Z,FaceLabels
1.9194386647910506,1.303101765654333,-0.0018323350695335942,Zettelkasten for musicians
1.9112193059140996,1.2691063395280153,-0.0029114307468632913,State controlled saving plans
1.9088693584133103,1.2628392557095034,-0.003071447189665853,RAM (Random-Access Memory)
1.9064269794887017,1.260791925789916,-0.0032922567790496663,Chords progressions
1.9080576426871683,1.2628701438076346,-0.0030815231487324605,Newsletters
1.9085440392113697,1.2682595286080791,-0.0022302721781515345,Somatosensory
1.909586794840956,1.2839945494299685,-0.0048245290103766,ALU (Arithmetic Logic Unit)
1.9078785937877016,1.285058775599131,-0.0046063743718652225,Hardware
1.9165107403126236,1.3041640224853412,-0.0037534003753203543,Mel Spectogram
1.906236750784515,1.2895594231487817,-0.0036984821353606054,Working memory
1.9079085179332416,1.29192944636781,-0.004651486405494915,Raspberry Pi
1.9157361202853165,1.300806424939207,-0.003715832924149348,Cryptocurrencies
1.9227556935991192,1.3019313599760476,-0.004685795531014689,Zettelkasten for musicians
1.905546948084553,1.267679083125687,-0.0040201243479209186,Chords progressions
1.904333726563193,1.2643843807799318,-0.004529629106696002,Contrapuntal music (in film)
1.9097989157176585,1.272548674215629,-0.005152027456766527,Harmonic Minor
1.9161873625470416,1.2394967190468984,-0.003443807531438021,Augmented reality
1.9126404963838317,1.2622168327529621,-0.004963677192824978,Third places
1.9127460494441892,1.2653834092229812,-0.0035459095317455238,Places
1.9113945872877032,1.2791487155443921,-0.005763658837490744,Places
1.9146675470402703,1.2898681136529102,-0.006344477233316957,Raspberry Pi
1.915807174643788,1.2444979283357154,-0.005304733505915191,Exchange Traded Funds (ETF)
1.9086785867653693,1.2948995252902493,-0.0049457092754469955,Writing on Medium
1.9086819819777183,1.2418697625981825,-0.005230193036546763,Emergency fund
1.906240984897087,1.2970702450878437,-0.005864422958936096,Circle of fifth
1.903864949846292,1.2748114077973232,-0.006692837122528727,One drop pattern
1.9024335366917995,1.2874019779827495,-0.005664092472894345,Freemium
1.8422496645321436,1.3824178893949983,-0.009388762996429868,The four levels of reading
1.9215334206428771,1.2968102256670566,-0.005361152872123406,Zettelkasten for musicians
1.9165002954044916,1.2815813066078954,-0.006017576932740576,Personal finances
1.9196621109721135,1.30865670127229,-0.007477925900384882,Fleeting notes to capture thoughts
1.84549374842495,1.3812657157282322,-0.00903429887229237,Speed reading
1.917357304316434,1.2676730431497,-0.006686270928198901,Stock markets
1.9183720435731901,1.2859344969671298,-0.006544484090367368,ARM (Advanced RISC Machines)
1.9093357898258598,1.2561626535866155,-0.005406431981593652,Music theory
1.8512168086210445,1.3816606121320383,-0.009227349686036137,Reading news
1.8465596250046308,1.4020195694596551,-0.012175499090656083,Speed reading
1.9141904024114056,1.24881595005898,-0.007169995731242548,Saving habit
1.900396205131773,1.2704576343338676,-0.0067325415374074726,No-code tools for AR
1.9118345567922121,1.3074015156569088,-0.007305496470969335,DSP (Digital Signal Processor)
1.8993795193299525,1.2595128765490764,-0.008167573665171261,Printing more money could create inflation
1.8361089779250093,1.3841745607146572,-0.009945709735959499,Syntopical reading
1.9199520586607064,1.2577270827670257,-0.007071832884426958,Real estate
1.8494619613670118,1.3694458982689774,-0.010662696609074635,Reading digests
1.9059431554574082,1.3106861365306501,-0.009578198253619457,Make great videos
1.896935608405049,1.281287947444238,-0.008173326866724595,Hyperinflation
1.9298263205128092,1.2625588388458522,-0.008552251847885316,Soundproofing
1.8351309242362586,1.3982881316531808,-0.00989367553280748,Reading philosophy
1.8807269623074099,1.255027414545381,-0.010549990649453686,Create a programming language
1.8994656143741309,1.247977179913292,-0.008158478806243631,AR devices
1.9094577464250087,1.3270619585896881,-0.012616625166845771,Make great videos
1.817473024868495,1.3968306779127573,-0.010995419746879658,Reading philosophy
1.8227038850586914,1.3798046050514032,-0.010859394921428366,Programming languages
1.8215569918824297,1.411464898912758,-0.012166416989131703,README
1.925387972504778,1.2770442354249067,-0.008328940075216718,Old books
1.9304945362520571,1.3141940002809949,-0.012181479973824688,My investment strategy
1.8286887191887418,1.4136550698347174,-0.012950191121872193,Reading imaginary
1.928174431750926,1.289415143357825,-0.01135184438512184,Sound classification
1.9123958012068392,1.3370886733148772,-0.012540454909671178,Personal finances
1.8882906830058637,1.2976671582267385,-0.012156113797182047,Make great videos
