X,Y,Z,FaceLabels
-1.0602651818536823,-0.5883006012942924,-0.00020233402481486704,Re-reading books
-1.0681777281479161,-0.5835082512243084,-0.0004990545569441425,Welcome in my mind 🧠
-1.0675110314441882,-0.5818111686298029,-0.000524431180378549,README
-1.0640156125523184,-0.5867191724598944,-0.001623956762945764,Reading philosophy
-1.0650181361340019,-0.5791526027208885,-0.001068088055064415,Reading imaginary
-1.067390590393255,-0.5830196419088294,-0.0011769846667931505,Contact me 💌
-1.0664689741814901,-0.5829595349572196,-0.0018648626708170461,Programming languages
-1.0663279019545315,-0.5813047012668545,-0.0013866946721858492,README
-1.065376804699045,-0.5806277911805442,-0.0017104292855730405,Reading imaginary
-1.0632174679408415,-0.5868656006369876,-0.001971346190620816,Syntopical reading
-1.064643740250693,-0.5863847911796412,-0.0016226085869738875,Welcome in my mind 🧠
-1.0652530045409196,-0.5831585474903224,-0.00221469905163237,Inspectional reading
-1.061430392039989,-0.5799628712377197,-0.0028020999985461366,Evaluate a book
-1.0629033765193878,-0.5799867868175065,-0.0026657387092637558,Elementary reading
-1.066101291209907,-0.5849028314765565,-0.0019070503185216173,Create a programming language
-1.0624285683797934,-0.5853473797287259,-0.003134428125467208,Reading philosophy
-1.0568276766408735,-0.586447371801305,-0.0034683346128281853,Speed reading
-1.0635589178434253,-0.5822105620279558,-0.002929229921928503,Reading technics should differ depending on book type
-1.0602752142979046,-0.5872454572082357,-0.002016857014734208,Reading science and mathematics
-1.0616880874802659,-0.5831929939805851,-0.0032576888257141896,Syntopical reading
-1.059398137467244,-0.5842071736286127,-0.0035639770087625357,The four levels of reading
