X,Y,Z,FaceLabels
1.7740350639155023,0.3631295158655071,-0.00011480044998419877,README
1.7738866620242313,0.3647573540324704,-0.00047996032938037273,Welcome in my mind 🧠
1.7763531409501923,0.36249691112269117,-0.001335481322479609,Programming languages
1.7749647194203866,0.36439718025910384,-0.0011829519258057812,Welcome in my mind 🧠
1.8217445702291148,0.3308628125976186,-0.003950185265001201,Chords progressions
1.8234056643758187,0.3318292415232721,-0.0046137607676572144,Third places
1.8197759756611382,0.35258149175675957,-0.0034255876623219142,Freemium
1.830972183680777,0.32418468910916765,-0.008431715701015145,The zettelkasten method and how to take smart notes
1.8208303075440198,0.35555302203723116,-0.004432125209516153,Writing on Medium
1.8261947588696301,0.3266002555118577,-0.004808652977078464,Real estate
1.7781836107535536,0.3605882094048797,-0.0022422788489177134,README
1.8195724494916643,0.33431453701646174,-0.0053636500657528365,Music theory
1.819326594995887,0.3361715052744654,-0.0056554796692798405,Printing more money could create inflation
1.7783672953869256,0.36719955045096553,-0.003931263715243944,Contact me 💌
1.8220556332581745,0.3523276077269941,-0.004227733435150892,Newsletters
1.8261167608238285,0.3279849986640472,-0.004665657657553071,Personal finances
1.7765067637375518,0.36413930286416873,-0.0021237316833155576,Create a programming language
1.8266492558023306,0.325179946258025,-0.005229638765603568,Cryptocurrencies
1.8245733600927028,0.3328697815630133,-0.004734287537894833,ARM (Advanced RISC Machines)
1.823777789073788,0.3367908181714787,-0.005121465004103508,Hardware
1.819153226994684,0.35008625037802465,-0.004208507336063421,Harmonic Minor
1.8226813178532537,0.34234634455529167,-0.005993470298719918,Working memory
1.8242335649482992,0.33422510095700186,-0.0052017398708754615,Raspberry Pi
1.8225785468769322,0.35829335450125255,-0.007871555757374945,Somatosensory
1.8166039008443169,0.3487943439001372,-0.0066818446921238445,Make great videos
1.81835967083715,0.35608009353213227,-0.005696866021016487,AR devices
1.8161563515872423,0.35369003764205675,-0.005702746199674359,Mixed reality
1.8234549829224345,0.34169327343129136,-0.006041977947459174,Raspberry Pi
1.7803858410876943,0.3649617311256611,-0.00695128210227965,Inspectional reading
1.8236128151965314,0.33765886212217655,-0.005111001589987358,Contrapuntal music (in film)
1.8265421815074712,0.3306672044203493,-0.003979147512520672,Saving habit
1.815265909925361,0.33182480578190565,-0.006543116781419979,One drop pattern
1.8142835753276472,0.3529311671593588,-0.008034061205952223,Video
1.8216670651983367,0.3267455319506182,-0.004862579994634044,RAM (Random-Access Memory)
1.8214073871919703,0.34799880207641554,-0.006203234316415684,Chords progressions
1.8243154936526207,0.32157353720731935,-0.006918189394513847,Personal finances
1.8166221587530862,0.33827840033490475,-0.008432727414250121,Make great videos
1.8301726223293002,0.32828069543854455,-0.007944653379357796,State controlled saving plans
1.8249136069256715,0.3538458159160347,-0.007901948855782954,ALU (Arithmetic Logic Unit)
1.819977106850612,0.34322211995914886,-0.007157114560208683,Make great videos
1.822077534651911,0.32083545031599514,-0.007916795699449367,Hyperinflation
1.815758416384958,0.34551691000014395,-0.007947986167798144,No-code tools for AR
1.8273899502303497,0.3402326113761952,-0.009514689149005552,Places
1.8008392852253634,0.3412345384297334,-0.009284020901559314,Reading philosophy
1.8262843296046032,0.34605217615412276,-0.00883097142194558,DSP (Digital Signal Processor)
1.828671940296073,0.32149998590453693,-0.006305444834096421,Places
1.8265035908552467,0.3586887325516578,-0.011546456784919036,My investment strategy
1.8053146318035211,0.3431043141841972,-0.011944609342648311,Reading biographies
1.7914906937150505,0.3661611898641098,-0.011967465025217705,Elementary reading
1.826595567934105,0.34963286851292186,-0.009064801654974485,Emergency fund
1.789157622696797,0.36360341773480537,-0.011932883670272001,Reading imaginary
1.8123606471854528,0.34744140634225457,-0.008839830058220755,Augmented reality
1.8390503774982465,0.3424693722184957,-0.013970201920153698,Zettelkasten for musicians
1.8293655886542555,0.363743534216172,-0.011208663311558762,Syntopical reading
1.8299048105668363,0.3416149532239763,-0.011288216878700796,Old books
1.8360730947335588,0.32821773698459134,-0.012519613777486824,Soundproofing
1.8224070361849698,0.36444036754775466,-0.011751039717824737,Reading digests
1.7819980841336496,0.3641006295680306,-0.008649825785882359,Reading imaginary
1.8141820169408085,0.34121320537279665,-0.009531777584833444,Premiere Pro
1.8136979028109081,0.33313666165077516,-0.007573853594814205,Analytical reading
1.8178972392166524,0.32788105282854607,-0.006837910339184258,Selective reading
1.7840650801974456,0.35702209401705065,-0.01105451032509646,Reading technics should differ depending on book type
1.8475134647354168,0.35597849940280735,-0.015508145950474388,Sound classification
1.8008479358431964,0.34934734565296643,-0.012994970510881462,Speed reading
1.8336581101563554,0.34745661554568363,-0.012508570327079558,AudioSet dataset
1.8316874028506636,0.31471996790438417,-0.013147385580549564,Reading philosophy
1.7929731877137618,0.359478558575559,-0.012868725991184968,Syntopical reading
1.7974597461714854,0.34608823899365,-0.012055788826940642,Evaluate a book
1.836734148223121,0.3233784600105947,-0.01371198848551388,Zettelkasten for musicians
1.807615659888798,0.3492436553618323,-0.011484499341349007,Speed reading
1.8179838101667363,0.3624571934237884,-0.011446541888546057,Circle of fifth
1.8088572962059357,0.33670821636573245,-0.010672943159086975,Reading history
1.8114494865871558,0.3573647104712959,-0.011031369392167317,Reading news
1.8422906173458866,0.3459901352451026,-0.014437476697176965,Zettelkasten for musicians
1.8340973818028208,0.3337289315678327,-0.01330731648091633,Exchange Traded Funds (ETF)
1.8397595114781562,0.33576399549175295,-0.01400547656644761,Zettelkasten for musicians
1.8375350825637828,0.3542056979610072,-0.013682570779110576,Fleeting notes to capture thoughts
1.832992932117245,0.3580570806252993,-0.013044767850199614,Stock markets
1.8059848901420394,0.36468061848918537,-0.014939637534115608,Reading science and mathematics
1.8007416053326453,0.35931059700148665,-0.014530569873186823,The four levels of reading
1.8453143268881513,0.33729973322431106,-0.01455675133251094,Zettelkasten for musicians
1.7903419294753653,0.35350790884233485,-0.013243013336133478,Re-reading books
1.8535384674980402,0.3436907631298004,-0.015229217443371766,Open-closed principle makes Zettelkasten closer to its original design
1.8602657141615877,0.34358007732426,-0.016314603421317405,Writing is the only thing that count
1.9078506352267017,0.3199274966124091,-0.01696778621499391,Permanent notes to link and develop
1.8845732363957088,0.30867474218517477,-0.01692944297479493,Mel Spectogram
1.8468542058961126,0.31876493458170163,-0.015595201425423234,Zettelkasten for musicians
1.8723363626080778,0.3213797801785587,-0.016892407760689704,Litterature note to quote and reference content
