x,y,filename
0.1807221970042532,-0.00888141839951593,Create a programming language
0.1937672659716585,0.012076726310054185,Programming languages
0.15571623644553798,0.20061575833938922,Inspectional reading
0.0995334111613989,0.17754221643313392,Reading philosophy
0.13830865160639744,0.2086328592351824,Reading imaginary
0.17109416823743628,0.2512539864492407,Reading technics should differ depending on book type
0.15774566920953054,0.13238921307596607,Elementary reading
0.18343912877793697,0.2121373935351643,Re-reading books
0.1371138531718687,0.21020473217300012,Evaluate a book
0.11864282257183231,0.15823959398211762,Syntopical reading
0.17651787996616217,0.2528384255157085,The four levels of reading
0.14220187365504527,0.18602264096684368,Reading science and mathematics
0.19539522129368656,0.16665357118601878,Speed reading
0.1700920057616546,0.1855232357670439,Selective reading
0.170419501761837,0.1421693496444735,Reading history
0.1261158193424981,0.09470272184034294,Reading biographies
0.14392691417087325,0.21187271312444803,Reading digests
0.17682639492583957,0.11309182115392803,Reading news
0.1470128870651733,0.2486266467651186,Analytical reading
0.1666308159210264,-0.0901055700664603,Augmented reality
0.1847211729729171,-0.10047626033497144,AR devices
0.16254063194034268,-0.08144878409360912,Mixed reality
0.179951881146709,-0.09216752072021048,No-code tools for AR
0.23437716412164325,-0.025025856937958682,Video
0.21454041958162434,-0.08274328970374074,Premiere Pro
0.244762945210778,-0.050282261541990135,Make great videos
0.14367414681579346,-0.11192511925938527,Hyperinflation
0.1754142068230111,-0.04050836787978211,Printing more money could create inflation
0.1255321864253831,0.004511759912372309,Music theory
0.17933917502837715,-0.10001393059629597,One drop pattern
0.18962764075814964,-0.03612204395966976,Circle of fifth
0.1516302894840749,-0.07921479362572033,Harmonic Minor
0.14910751981514717,-0.07119280250214474,Contrapuntal music (in film)
0.13391084311408774,-0.07134365003618408,Chords progressions
0.2221095138778923,-0.10775950700599413,Freemium
0.20755013674769668,-0.006576952374410523,Writing on Medium
0.16638102978133565,-0.0778475050075282,Newsletters
0.1588280753943879,-0.052530354406700355,Somatosensory
0.2506876477096015,0.04287642203560249,Working memory
0.16325061334291877,-0.08250530023014536,Hardware
0.1834042431222207,-0.12171353056231954,DSP (Digital Signal Processor)
0.11812097323805228,-0.09316489610483186,ALU (Arithmetic Logic Unit)
0.16511385770036588,-0.1329742396866588,Raspberry Pi
0.17772098536303982,-0.1414589131830913,ARM (Advanced RISC Machines)
0.2019534037712052,-0.05432780702151752,RAM (Random-Access Memory)
0.07964899554903986,-0.14330790547526598,Places
0.08791754779114974,-0.05435297296168975,Third places
0.05699593734097744,-0.09669884635325335,State controlled saving plans
0.1732489672387253,-0.0402540774048287,Stock markets
0.15305557269080597,-0.042567220119476556,Real estate
0.033183113730552674,0.07320244166679349,Old books
0.16781008545153808,-0.08040432855881777,Cryptocurrencies
0.141279424657687,-0.10709359040946607,Exchange Traded Funds (ETF)
0.220543735083521,-0.022903591212775083,Saving habit
0.217126312942913,-0.04978677145952094,Emergency fund
0.18851475117369593,-0.0385971781865894,My investment strategy
0.19279923239439856,-0.03176637044380869,Personal finances
0.10946717930484146,-0.10554354480688838,AudioSet dataset
0.17577925206556588,-0.09159014038804501,Sound classification
0.14218049987500514,-0.08324144214145271,Mel Spectogram
0.11882529301037423,-0.07324979635392254,Welcome in my mind 🧠
0.18965753147686454,-0.07616083632957021,Soundproofing
0.2255374238591841,0.1183503516610607,The zettelkasten method and how to take smart notes
0.22063921366542377,0.06734057244607829,Fleeting notes to capture thoughts
0.2138579014881144,0.058400056319911554,Zettelkasten for musicians
0.2038058300301121,0.02779029995547772,Open-closed principle makes Zettelkasten closer to its original design
0.1625505472439625,0.13361315220133616,Litterature note to quote and reference content
0.2542727153740538,0.18420176139025982,Writing is the only thing that count
0.2087055315296734,0.10478031487694038,Permanent notes to link and develop
0.138858974157902,0.1920066415952919,202107062037 Critics need rhetoric
0.11882991556948277,0.26242982708287454,"202107071942 Books never solve practical problems, action does"
0.2272537919284529,0.12939474374322624,202106122210 Expert can rely on their intuition
0.26099337052548227,0.10391260362247674,"202107032023 Don't be an expert, make unexpected connections instead"
0.2737929365267179,0.08824764049237596,202106201717 Avoid immobility by starting projects as drafts
0.1259620766345515,0.11945537928241727,202107062101 Don't read with a dictionnary
0.22922164562621222,0.13756111924891962,202106131144 Learning has multiple phases
0.1181602899860494,0.23165342016174092,202107061345 Interpretative reading
0.19782675635798003,0.08270413984523704,202106152233 Thinking about solutions to previous problem helps finding creative solutions
0.11676175567180713,0.24420556397978488,202107071935 The two types of practical books
0.10258737553952683,0.016738848108735344,202109222330 Is Thus Spake Zarathoustra has any historical fundements?
0.1960052264917036,0.14941016610248847,202106172137 Writing a lot trigger the large number theory on finding great topics
0.22300639943222345,0.16905269723833297,202106122212 Better taking note by hand
0.13171801571055766,0.25278705270100016,202107062109 Don't use extrinsic aid synchronously
0.09427027758150962,0.16281614352349483,202107062046 Book completeness as an indiscutable argument
0.1503490441637826,0.14508485484611577,202106270022 Teaching require empathy
0.15120444253044232,0.21307272142896735,202106290039 Don't stop on unknown references when reading
0.197599807868711,-0.0035733010168614117,202106270039 Best collectors are artists
0.09938010052613304,0.1922029270850849,202107072126 Imaginary litterature is harder to read
0.26164619654472104,0.11011769211307837,202106122322 Remembering is bringing back memory to conscious mind
0.20791701386890138,0.12227034035749679,202106122339 Don't worry about slipbox's completeness
0.2787962030076457,0.05785436497999302,"202107032032 Focus is for executing, openess is for creativity"
0.15913441590837563,0.15583541446811439,202106131132 Litterature notes helps comparing different authors ideas
0.21547938874988226,0.06718343208118249,202106152303 Laxism is a threat to creativity
