X,Y,Z,FaceLabels
-0.15165997272175813,-0.5644475408440514,-0.0005701187970013909,Reading science and mathematics
-0.1688582180998629,-0.5784357732447926,-0.000636597642108448,Syntopical reading
-0.1540957485733805,-0.5717967929115624,-0.00037734449784182495,Speed reading
-0.21596273665173815,-0.5299412259159206,-0.0014889638840653073,README
-0.1542376682502712,-0.5286003412061737,-0.0014515081686449713,The four levels of reading
-0.20940939012782744,-0.5063059921864071,-0.002118616683351661,Create a programming language
-0.15286679353906685,-0.5066173051016476,-0.0012819357631226995,Re-reading books
-0.18452277397711625,-0.5140564145350752,-0.0022325312217565,Reading philosophy
-0.17787514848102493,-0.5008485120789565,-0.002120511306547185,Inspectional reading
-0.17459077581755655,-0.5276359795781023,-0.0022688638261065554,Elementary reading
-0.15878869378473492,-0.554140111219951,-0.0020515156449292743,Syntopical reading
-0.16529095548860717,-0.5385949875483318,-0.002144008620966687,Evaluate a book
-0.15997508108161707,-0.4861052975702013,-0.0022281563798976414,Reading imaginary
-0.19787441598871036,-0.5723613556872738,-0.00248802350335779,Reading philosophy
-0.21015779785467426,-0.4881644344537599,-0.0028056339270620336,Programming languages
-0.18168929504905418,-0.4783264797427392,-0.002838338493969539,Reading imaginary
-0.1708809165700954,-0.4501281745249699,-0.0035925092136932235,README
-0.23240589742863937,-0.40809139848519027,-0.003510749282959732,Welcome in my mind 🧠
-0.17890068808080317,-0.5655958702028672,-0.002306645606818791,Reading technics should differ depending on book type
-0.19741242365187694,-0.5293447967480586,-0.0018312379942709888,Contact me 💌
-0.2135735563087443,-0.44471731057079045,-0.0036000197591007123,Welcome in my mind 🧠
