X,Y,Z,FaceLabels
65.59394355210888,-140.30411309414356,-0.00811277337526403,Welcome in my mind 🧠
68.14393083296943,-142.01692475230334,-0.03506601730534461,Reading philosophy
66.35213961492914,-140.36568422930677,-0.025495036510861907,Create a programming language
66.6192426397561,-142.05801209962212,-0.04575453165573592,Contact me 💌
65.95625453935516,-141.1608141289591,-0.018424812993636797,README
66.10879760348519,-140.77637606007687,-0.03524222020942253,Welcome in my mind 🧠
67.71429845234088,-142.1436872850379,-0.044589552710129376,Reading philosophy
67.60559296883415,-141.09591645286247,-0.06977814007754343,Inspectional reading
67.15591592922979,-141.64433227090822,-0.06178686535017125,Programming languages
66.80175438987581,-141.18458108770378,-0.06809818413614414,README
