X,Y,Z,FaceLabels
-78.36054299903404,8.495637915313846,-0.056035398127530264,Welcome in my mind 🧠
-76.12358755558448,8.71365162642986,-0.07765511737270835,Speed reading
-75.2837495241571,7.023166131394051,-0.0916969124441347,Reading digests
-78.55017582534391,6.488521878590499,-0.04998396876130779,Welcome in my mind 🧠
-78.40761408276086,7.768648951146092,-0.038642448617869536,README
-77.17208188310791,5.3733766532019,-0.07383434936403839,Reading philosophy
-77.55260033344123,9.508395815163215,-0.07895133582865156,Reading philosophy
-77.4412706807712,7.679296263506014,-0.13184644706508786,Reading imaginary
-76.36312436579747,5.900471738310491,-0.10711257506826369,Selective reading
-78.3241068899951,7.233273818008037,-0.09001078155973113,Programming languages
-77.98572929075183,5.897798386714539,-0.10534350148393443,README
-77.2166255373462,7.263507449133677,-0.13702170525006196,Re-reading books
-76.54439246531608,6.9040226063636245,-0.14521534326407368,Evaluate a book
-77.57427281590185,6.591545218879056,-0.1387543868403793,Reading imaginary
-75.66265282436495,7.65027668015045,-0.13173212216154584,Reading history
-77.74988353241793,7.845746173158484,-0.1322890462068475,Create a programming language
-76.17770588749599,8.293015389557626,-0.13828566574215498,Reading biographies
-78.10089955717044,6.851892528837433,-0.11998242718419208,Inspectional reading
-76.8589400313387,8.975872908865739,-0.16150575137241158,Elementary reading
-77.9802110368598,8.748170573931164,-0.13432392253917957,Contact me 💌
-75.75526552049182,6.635381557940365,-0.148279458248619,Speed reading
-76.5713532731369,6.370475323091618,-0.14978677127151563,Syntopical reading
-76.14760191163003,7.429513390668568,-0.16961164335323045,Reading science and mathematics
-76.80815064414804,8.00980855295885,-0.18619411249952908,The four levels of reading
-77.26608518772608,5.976398829706234,-0.1416194424552704,Syntopical reading
-77.27345477490557,8.703189638181017,-0.1662139450001387,Reading technics should differ depending on book type
