X,Y,Z,FaceLabels
-42.11084391895632,150.53938876710063,,Programming languages
-33.70088463298445,146.3965851120326,-0.28170922591504094,Places
-33.76579678903161,146.9269147233972,-0.17177754178965995,Hardware
-34.305493598657165,146.85050148215313,-0.22016607828478138,Writing on Medium
-34.32881968609824,152.48822085760443,-0.3137130258063535,Chords progressions
-38.760464291066654,153.74031862097513,-0.28925107821977014,Analytical reading
-18.223924117384907,121.1053196948603,-0.3297896233398,Elementary reading
-36.35746540068486,157.95214623433995,-0.1756762123333024,Premiere Pro
-42.22312163696496,149.52028714701876,-0.10823659962673246,README
-36.9284796316525,157.30706189054848,-0.20770492991065181,AR devices
-42.57793794069134,148.66266568027987,-0.15174004809719335,README
-42.78844684171912,147.78377481735976,-0.15705109643491422,Welcome in my mind 🧠
-39.58252919060987,148.3477760588315,-0.21822596281295514,Syntopical reading
-35.72055319576155,158.89802578008158,-0.2268049657490067,Speed reading
-33.7302454594363,152.0102884040888,-0.29218292719803884,Raspberry Pi
-39.810173425155234,149.04684075187643,-0.22151325570383787,Evaluate a book
-34.59083093084536,147.50969216804597,-0.19891824057541121,Chords progressions
-38.953286207614525,148.96635666942473,-0.25024429756478117,The four levels of reading
-38.14252312978721,149.40052980275743,-0.2408368735022709,Reading digests
-33.58173491305229,147.6848710115961,-0.2241245483380105,Somatosensory
-33.43478913413176,148.19094475602807,-0.28390963903287414,RAM (Random-Access Memory)
-40.61536297525147,148.10181201222446,-0.25481138020216093,Reading philosophy
-35.36514640794993,148.0026477383015,-0.27636297010483285,One drop pattern
-35.18644552303199,146.09757738556075,-0.32480160741015845,Newsletters
-36.484005354863456,148.57930963963645,-0.3418555347138582,Music theory
-32.98540300059591,152.30462463921785,-0.4682280065962894,Raspberry Pi
-34.71877737662336,148.68903608283568,-0.27158816083272497,Circle of fifth
-33.193488640386434,146.29100203598065,-0.410681509735747,Places
-39.61231173008632,147.43079190844364,-0.305482074450636,Syntopical reading
-40.69763055178382,149.58392454576483,-0.2576853053360505,Reading imaginary
-41.68360233540028,148.73501223199565,-0.23159760354498937,Contact me 💌
-34.658098017381334,151.59089743784085,-0.31325713059046173,Working memory
-38.892907735041874,154.6866693502235,-0.2580588896266882,Speed reading
-35.93759726662603,149.56776304956162,-0.34957531690944477,Video
-37.81555793127296,148.64883255180007,-0.3225848546292619,Reading science and mathematics
-35.99380618698452,146.10144314415862,-0.41569038929355595,Make great videos
-32.18294248166561,145.894417752485,-0.5282469235053471,Exchange Traded Funds (ETF)
-41.21663061533576,150.92063730235066,-0.297892336043913,Create a programming language
-41.54337009015235,147.34104499319912,-0.3133485550794476,Reading philosophy
-40.62209059046459,145.90289183305688,-0.38537625884009663,Welcome in my mind 🧠
-38.28367606248656,147.01709457379027,-0.40172525008838983,Reading news
-34.16441921397913,149.865657271843,-0.33653864844562004,Harmonic Minor
-26.12167129377928,149.94838299385302,-0.5542707553485958,Personal finances
-36.690786639342775,146.6557977430354,-0.41024241443713094,Augmented reality
-38.08570659243812,150.56698620744493,-0.3763119662953699,Reading history
-39.73752963619067,150.62593551136206,-0.36591634742249207,Re-reading books
-36.870324905831,156.40086410066004,-0.36315108401445867,No-code tools for AR
-34.51542126442469,158.61372040628777,-0.3870280301706548,Make great videos
-36.030305737639715,152.75519969134234,-0.3750774210491149,Contrapuntal music (in film)
-37.661644714447945,153.83295878435007,-0.45563326741414245,Selective reading
-31.8827659729213,148.97885914361373,-0.4908582633400595,Third places
-32.366115698206414,150.55070392121607,-0.4791840582362982,ARM (Advanced RISC Machines)
-39.44984445797445,152.31414656383603,-0.38000696216750196,Inspectional reading
-31.177279085501354,148.19114892606163,-0.5321427854711012,Saving habit
-36.51454834202919,151.08081084893252,-0.4043966243407721,Mixed reality
-24.80013009519505,147.17346462588435,-0.5900286495190364,Personal finances
-33.23973965784967,154.40460570588064,-0.5372843936213303,DSP (Digital Signal Processor)
-35.59244261605052,154.88877376065176,-0.45721975301224477,Printing more money could create inflation
-27.66160739435456,151.5424028377258,-0.5557355458431066,State controlled saving plans
-32.046111975783234,141.9601228306056,-0.5753928227909959,My investment strategy
-38.028005190602144,143.72686323233546,-0.4676275509444304,Reading biographies
-29.658898137856287,158.83996813989205,-0.6136786230312212,Make great videos
-33.03340169293508,156.77725255486854,-0.5321318835151103,Hyperinflation
-26.584735673062866,146.51428890109204,-0.546651369379799,Emergency fund
-30.35571531120651,153.54231067333944,-0.5922265632522664,Freemium
-34.216983564632244,142.15515004382257,-0.5498662521656811,Reading imaginary
-20.656811077345417,128.91629008846684,-0.5409587972601015,Reading technics should differ depending on book type
-28.43702825662165,139.89774201359802,-0.5963824535369887,ALU (Arithmetic Logic Unit)
