X,Y,Z,FaceLabels
-2.8916373599211944,-15.01124769056817,-0.0013233580178900505,Create a programming language
-2.8764307828774056,-15.039564711817583,-0.003515026777568044,Reading philosophy
-2.9148408213284713,-15.026281855409012,-0.005588164204268243,Programming languages
-2.888245384438026,-15.036603227323232,-0.006692895887892232,Reading philosophy
-3.0559105531527413,-15.15614211548791,-0.015317912739756145,Welcome in my mind 🧠
-3.017145714686596,-15.199347031230745,-0.017231916009981824,README
-2.9622282791731465,-15.10813093332331,-0.019355103506933403,README
-2.9176093142114263,-15.168013121863732,-0.021413095737541857,Contact me 💌
-2.91162074778095,-15.082166097960485,-0.019088766316505967,Inspectional reading
-2.9950697479188424,-15.15097264851556,-0.01948762156109938,Welcome in my mind 🧠
