X,Y,Z,FaceLabels
-22.01629308082598,-15.011499690896597,-0.027080010925382945,Reading imaginary
-22.088039079672285,-15.103312104472469,-0.009603691820966312,README
-21.941367167077292,-14.876359634441734,-0.0159838583593176,The four levels of reading
-22.02801950907062,-14.866463035139184,-0.01528400891366313,Create a programming language
-22.097920783903042,-15.058386268587208,-0.0159820108400493,Welcome in my mind 🧠
-21.974430624594078,-14.868751029252188,-0.03092309274054837,Reading imaginary
-22.031526986081417,-15.00620154769578,-0.02890235202192319,Programming languages
-21.88620975174596,-14.932995354755882,-0.026910872105508438,Reading science and mathematics
-21.986647844005752,-14.943481079227855,-0.03190821404208853,Syntopical reading
-21.96020066432877,-14.977549310666362,-0.029767170963378414,Re-reading books
-21.990348728680893,-14.978652195491696,-0.02516065212979314,Reading philosophy
-21.954219145021153,-14.917125805729906,-0.0295231019640277,Syntopical reading
-22.000361140765865,-15.02021440362784,-0.025030937004874285,Inspectional reading
-21.934389471546865,-14.968313684739412,-0.03039432070460316,Elementary reading
-22.00235327213589,-14.919382320503122,-0.042176335793555744,Evaluate a book
-22.07659036298508,-15.055341140869317,-0.026583613911251507,Welcome in my mind 🧠
-22.06743815658387,-14.986620706797508,-0.05013743791633196,README
-22.04158450202933,-15.051364024226892,-0.031065649979744293,Contact me 💌
-21.918226283434638,-14.91416502244498,-0.0438950819343325,Speed reading
-22.03784259002306,-14.957374340005396,-0.04595832724426083,Reading philosophy
-22.00716410583832,-14.890243984301286,-0.038939214812552504,Reading technics should differ depending on book type
